Ranking,Equipo,Nombre del Agente,Área / Dominio,Problema que resuelve,Solución,Stack Tecnológico,Impacto Estimado (KPIs),Score Jurado,Impacto Comercial / ROI,Innovación y Creatividad,Experiencia de Usuario,Calidad del Pitch,Puntaje Final
🥇 1,Escocia,Sin PPT disponible,Modelos de Machine Learning,Sin PPT disponible,Sin PPT disponible,Sin PPT disponible,Sin PPT disponible,6.40,9,7,7,9,8.00
🥈 2,Cabo Verde,SigmaWatch,Antifraude / Riesgo,Monitoreo de fraude manual y reactivo. 90% de alertas son falsas alarmas. Detección al día siguiente.,Detección de anomalías en tiempo real por desviación N-sigma. Propone reglas con simulación de impacto. HITL para confirmar.,No especificado,"90%→~0% falsas alarmas. Detección en tiempo real. -50% costo analistas. Fraude: $80K→$64K/mes.",6.10,9,7,6,8,7.50
🥉 3,Egipto,KENT (Koin Agent for External Network Threats),Antifraude / Inteligencia,Redes criminales comparten técnicas de fraude en canales digitales. +15K criminales únicos. Detección reactiva.,Agente encubierto infiltrado en grupos Telegram. Lee mensajes c/10 min y detecta patrones de ataque para Koin.,"Claude HAIKU, Cursor, Python, Telegram, Slack","$100-200K por ataque prevenido. Realimentación tiempo real de modelos y reglas.",5.90,7,7,6,10,7.50
4,Qatar,Sin PPT disponible,Análisis de Falsos Positivos,Sin PPT disponible,Sin PPT disponible,Sin PPT disponible,Sin PPT disponible,6.00,8,7,8,7,7.50
5,Suiza,Koin SmartPromo,Comercial,Gestión de condiciones comerciales manual e ineficiente.,Agente para automatizar condiciones comerciales con clientes. (Contenido PPT limitado),No disponible,No disponible,5.60,7,7,8,6,7.00
6,Francia,PayGuardian,DevOps / Ingeniería,Monitoreo post-deploy 100% manual. 40 hs/sem de ingeniería mirando pantallas. 15-30 min para detectar fallas.,Agente inteligente que analiza Jira+GitHub+Datadog+New Relic y propone rollback en caso de falla.,"AWS AgentCore, Claude, Datadog, New Relic, Jira, GitHub, Slack","+20% capacidad delivery. $65K ahorro. Detección en 3 min vs 30 min manual.",5.35,7,6,7,7,6.75
7,Croacia,Modric IA,Comercial / Integración,Integración de nuevos clientes requiere 45 días de implementación y 6 meses para ver impacto P&L.,Mapea automáticamente cualquier formato de datos al formato API de Koin. Genera mapping único por merchant.,"Bedrock API, Python, Flask","-50% Time to Revenue. Implementación: 45 días→1 día. Escalabilidad: 0%→100%.",5.75,7,7,7,8,7.25
8,España,ARBITER,Fraude / Disputas,Análisis y clasificación de contracargos manual. Detección de escenarios no cubiertos por sistemas actuales.,Guardián Inteligente de Disputas. Prevención inteligente y clasificación predictiva de contracargos.,No especificado,No especificado,5.75,7,7,6,9,7.25
9,Australia,AM Copilot (Account Manager Copilot),CX / Account Management,"El AM dedica ~3 hrs/día a tareas reactivas: clientes escalan por WhatsApp, reuniones preparadas manualmente.","Copilot multicanal (WhatsApp, Telegram, Slack, Backoffice) con routing a agentes especializados y Customer Memory.","AWS Bedrock, Python, WhatsApp API, Telegram API, Slack, Backoffice","70-90% reducción tiempo de respuesta. Escalabilidad sin headcount. Mejora NPS.",5.00,5,6,8,7,6.50
10,Arabia Saudita,KoDI (Koin Dispute Intelligence),Fraude / Operaciones,Análisis de contracargos 100% manual (~7 hrs/caso). Bajo win rate en disputas (<15-25% promedio sector).,5 sub-agentes automatizan flujo end-to-end de disputas. HITL en 3 puntos. Genera borrador listo para enviar.,"Python, AWS Bedrock, S3, Backoffice","~90% reducción tiempo proceso. $6.5K+ ahorro mensual. 1→32 contracargos/persona/día.",5.30,7,7,5,7,6.50
11,México,Incident RCA Agent (Sabueso),Ingeniería / SRE,Diagnóstico de incidentes 100% manual. On-call cruza 4+ herramientas. 30-60 min de triage por incidente.,Recibe síntoma y entrega causa raíz probable con evidencia. Pipeline de 4 especialistas conectados.,"Claude en AWS Bedrock, AgentCore, Strands, MCP, Python","-80% tiempo de diagnóstico. Disponibilidad 24/7 sin experto. 6 servicios cubiertos.",5.05,7,6,6,6,6.25
12,Marruecos,Koin Homologation Copilot,Onboarding / QA,Proceso de homologación manual y repetitivo. Múltiples idas y vueltas entre equipos Onboarding y QA.,Cliente pega EvaluationID y agente valida en <5 segundos contra criterios exactos con diagnóstico preciso.,"AWS Bedrock AgentCore, Cursor, Python","-12% Time to Revenue. -15% hrs analistas QA. Escala N clientes en paralelo 24/7.",4.80,6,6,5,7,6.00
13,Canadá,Koinpanion,Onboarding / Integración,"Proceso de integración complejo, >100 días y $30K promedio por cliente. Consume tiempo de múltiples equipos.","Asistente con 3 sub-agentes (Integración, Onboarding, Homologación) que acompaña clientes 24/7.","Python, React","-30% Time to Revenue. x100 capacidad de onboarding. Disponible 24/7.",4.70,5,6,7,6,6.00
14,Ghana,KoinPulse AI,Account Management / Retención,AMs dedican 2 hrs/día a seguimiento manual de performance. No hay detección temprana de churn.,Monitorea 15+ señales por cliente en tiempo real. Detecta patrones de churn y genera plan de retención.,"Claude API, Python, Databricks, Jira, New Relic","80% reducción tiempo proceso. Detección de churn 30-60 días antes.",4.35,4,5,7,7,5.75
