Ranking,Equipo,Impacto Comercial / ROI,Innovación y Creatividad,Experiencia de Usuario,Calidad del Pitch,Score Jurado,Descripción Jurado,Puntaje Final
🥇 1,Escocia,9,7,7,9,6.40,modelos de machine learning,8.00
🥈 2,Cabo Verde,9,7,6,8,6.10,deteccion de faltas de datos,7.50
🥉 3,Egipto,7,7,6,10,5.90,escucha dark web,7.50
4,Qatar,8,7,8,7,6.00,Analisis de falsos positivos,7.50
5,Suiza,7,7,8,6,5.60,Condiciones comerciales,7.00
6,Francia,7,6,7,7,5.35,monitoreo post deploy,6.75
7,Croacia,7,7,7,8,5.75,importacion de datos de clientes,7.25
8,España,7,7,6,9,5.75,analisis de chargebacks,7.25
9,Australia,5,6,8,7,5.00,Mano derecha de account manager,6.50
10,Arabia Saudita,7,7,5,7,5.30,Koin dispute inteligence,6.50
11,México,7,6,6,6,5.05,diagnosticar problemas post deploy,6.25
12,Marruecos,6,6,5,7,4.80,homologacion de clientes,6.00
13,Canadá,5,6,7,6,4.70,onboarding y homologacion,6.00
14,Ghana,4,5,7,7,4.35,account manager cockpit,5.75
